specObjID,ra,dec,z,class,zWarning
4508304526898649088,198.89888,0.49220969,0.01016492,GALAXY,0
11530495289334192128,135.06223,35.719472,0.01016519,GALAXY,0
6021483501270095872,159.46912,13.721,0.01016621,GALAXY,0
1450184689477249024,218.43929,44.082207,0.01016674,GALAXY,0
1467190291420178432,143.51132,9.4792046,0.01016935,GALAXY,0
525875827615754240,130.48618,-0.060011778,0.01016996,GALAXY,0
9186263637932922880,173.31423,50.304632,0.01017167,GALAXY,0
326532995781519360,189.97961,-0.13871907,0.01017225,GALAXY,0
1623712368703858688,174.09927,47.158079,0.01017745,GALAXY,0
2576139313263699968,138.34249,19.369377,0.01017967,GALAXY,0
1067508183561431040,161.36402,58.59317,0.0101802,GALAXY,0
2904894121195890688,143.64224,13.005742,0.01018223,GALAXY,0
876042837295130624,178.88072,63.440334,0.0101826,GALAXY,0
1022468338074281984,167.89933,56.526918,0.01018363,GALAXY,0
1538026328257751040,172.77791,44.184082,0.0101859,GALAXY,0
673338210927011840,177.65885,64.350386,0.01018803,GALAXY,0
4511700093783791616,198.03591,2.9890931,0.01019098,GALAXY,0
8250755708456556544,122.69045,46.915307,0.01019367,GALAXY,0
9840623144880330752,1.1141288,5.8495232,0.01019431,GALAXY,0
1088842560920643584,173.42336,49.599234,0.01019601,GALAXY,0
1931046778883303424,224.19989,9.5091042,0.01019751,GALAXY,0
7314004781034657792,204.22625,32.095556,0.01019777,GALAXY,0
2020004971050723328,195.84205,7.6161079,0.01019849,GALAXY,0
1480649683788392448,182.63681,58.304138,0.01020018,GALAXY,0
398718130668464128,261.82637,61.17768,0.01020233,GALAXY,0
1475036406110775296,171.91678,57.242506,0.01020325,GALAXY,0
6503254312726321152,136.01793,22.061255,0.01020828,GALAXY,0
2823809533053265920,175.50711,16.67568,0.01021267,GALAXY,0
398684045808003072,260.89922,61.823703,0.01021303,GALAXY,0
886099483404822528,210.52379,59.280131,0.01021327,GALAXY,0
1469418446818142208,146.08095,9.9847886,0.01021397,GALAXY,0
1363612721228048384,135.12241,35.811278,0.01021408,GALAXY,0
3087227511185106944,208.27263,15.844551,0.0102141,GALAXY,0
2571596406246631424,136.34145,21.622752,0.01021532,GALAXY,0
1470489375153350656,147.33259,9.9204729,0.01021986,GALAXY,0
950414592410937344,184.82324,5.8758661,0.01022011,GALAXY,0
3132259390313228288,235.06595,14.80835,0.01022073,GALAXY,0
8599829764017248256,26.711885,24.466569,0.01022169,GALAXY,0
887258094084581376,212.64965,59.357994,0.01022186,GALAXY,0
1481789052695898112,186.64552,57.830782,0.01022303,GALAXY,0
7314004231278843904,204.18954,32.091111,0.01022351,GALAXY,0
1450191286547015680,218.86307,44.950219,0.01022574,GALAXY,0
2241804211291449344,178.10029,32.403879,0.01022762,GALAXY,0
2374554297795897344,204.23982,32.03568,0.0102291,GALAXY,0
427988229711489024,345.36013,0.86518885,0.01023358,GALAXY,0
1379388235762919424,176.55146,10.595534,0.01023465,GALAXY,0
2505265069118482432,180.51312,29.847986,0.01023508,GALAXY,0
2241829225180981248,179.22599,32.158806,0.01023559,GALAXY,0
1306189072334612480,214.34196,57.629851,0.01023666,GALAXY,0
