specObjID,ra,dec,z,class,x,y,z_cart
1556071513965225984,218.64407,36.288371,0.01011006,GALAXY,-28.13513899807119,-22.49543959949678,26.450007565012076
6439082691027818496,149.06173,59.307169,0.01011376,GALAXY,-19.573122015121122,11.732035401987178,38.44404566082295
486544922015459328,116.15665,40.883303,0.01011479,GALAXY,-14.901581467342911,30.34194110305608,29.264450101172155
692596982241323008,233.66048,59.172572,0.01011588,GALAXY,-13.57867996793347,-18.458434612312434,38.39836010762528
702687750708553728,245.19759,47.064994,0.01011735,GALAXY,-12.779182250745405,-27.653629469652515,32.74259433072338
2984826699352401920,198.0471,21.40518,0.01012159,GALAXY,-39.605798284333595,-12.904708756358103,16.328815722199415
957038049785571328,197.8469,3.4114153,0.01012274,GALAXY,-42.51761770092564,-13.689314537769818,2.6626423417609435
6633921099624372224,175.58513,16.013339,0.01012404,GALAXY,-42.88794356425637,3.3112442587603432,12.345357384521813
3116532520259184640,233.92417,13.217707,0.01012466,GALAXY,-25.65594586081925,-35.21427779234762,10.233264114774999
13148361509481764864,136.22322,25.001903,0.01012537,GALAXY,-29.28874085018549,28.06411622644275,18.916868594761
1969210263383074816,162.34049,12.9056,0.01012649,GALAXY,-41.57602053444298,13.236234391597014,9.997581737834707
1087633098230753280,173.42792,48.33471,0.0101278,GALAXY,-29.56564032970153,3.406262032337024,33.444020869643246
10303177253069281280,342.7738,-1.9873602,0.01012781,GALAXY,42.73478862328508,-13.250044031804466,-1.5525347067960322
1625909742759077888,175.03803,48.258233,0.01012943,GALAXY,-29.698890463387496,2.578453899483473,33.409629951951906
1081025579462977536,205.87572,59.167869,0.01013167,GALAXY,-20.652495775410927,-10.017500010597162,38.45626996834853
866985847507937280,151.13228,60.107974,0.01013394,GALAXY,-19.5505731577082,10.778129468517006,38.836379137261176
2505260671071971328,180.06644,29.901309,0.01013433,GALAXY,-38.83422639534325,-0.04503206309629602,22.331866209656724
884960389341669376,208.68445,60.07549,0.01013477,GALAXY,-19.605863602384932,-10.7269818982018,38.82688804599599
884974133237016576,208.539,60.678055,0.01013536,GALAXY,-19.27435513750073,-10.482114580024435,39.062039079820956
1087634747498194944,173.51627,48.477047,0.01013683,GALAXY,-29.51444383528453,3.3542565180211974,33.54766540628228
591231080258889728,198.03562,2.9884888,0.01013695,GALAXY,-42.54933265359709,-13.854367136878627,2.3361317848648087
1306169281125312512,214.10112,57.850475,0.01013759,GALAXY,-19.745453216797657,-13.369239782337711,37.94048169447562
1053988043477772288,135.81282,38.55786,0.01013761,GALAXY,-25.127432811335165,24.424423921419105,27.931473058983958
6023633871656212480,161.34252,13.714103,0.01013905,GALAXY,-41.25238593533305,13.929049440846804,10.625391921170893
1481802246835431424,187.40173,58.021133,0.01013911,GALAXY,-23.53839356262696,-3.05782627477219,38.01702462228847
867096898182342656,151.05614,60.370673,0.01014001,GALAXY,-19.391786551947337,10.724217572414226,38.96159619110745
1807105410860083200,169.91109,11.445371,0.01014017,GALAXY,-43.25254981539187,7.695815402205071,8.894426195191004
1398394671004149760,57.893078,-1.2262693,0.01014237,GALAXY,23.823272210214846,37.967359732476055,-0.959460138270784
937977740437514240,140.72575,46.534465,0.01014281,GALAXY,-23.87609984075719,19.524448801284947,32.54060551836936
887294652846204928,210.19052,59.328281,0.01014418,GALAXY,-19.77146571170329,-11.502888791248916,38.56783267941288
1450173694360971264,218.83601,43.97182,0.01014702,GALAXY,-25.14443928436873,-20.2426803998036,31.141923663923308
5180342530966050816,179.19707,32.017817,0.01014723,GALAXY,-38.02750633495147,0.5329436976899043,23.781004059058073
9467802399790094336,214.31247,58.710875,0.01014806,GALAXY,-19.243010752933106,-13.132829807032193,38.33373318538697
9069143661405820928,253.58139,50.46278,0.0101499,GALAXY,-8.072807663542195,-27.396191004906168,34.601247129916345
2819357065816860672,173.231,23.230216,0.0101528,GALAXY,-40.952982272009436,4.860876178353112,17.70143025693359
1850005057399973888,214.26052,36.571584,0.01015295,GALAXY,-29.789347853015848,-20.29085124103509,26.740437362687683
619402761548621824,130.26091,49.425212,0.01015687,GALAXY,-18.87281289455009,22.2848608087708,34.10174049864081
1848844247529187328,210.00085,37.306823,0.01015957,GALAXY,-30.934578768658454,-17.860699282879608,27.21843705856505
1947932241850034176,242.33645,8.7632579,0.01016002,GALAXY,-20.607688266764264,-39.31260832793218,6.842244331104509
8560477417873102848,353.96631,23.61971,0.0101604,GALAXY,40.92191366968085,-4.325395903911036,17.994797779045047
